γ,err,converged,S,T,U,k
0.35889339210349713,0.0,true,0.9133552388334065,0.9590230007750769,39.80791676815751,21.0
0.8024868335931103,0.0,true,0.8705868851202745,0.9141162293762882,40.43992756899228,21.0
0.7298092399172313,0.0,true,0.872801055500419,0.9600811610504609,39.927884239783126,22.0
0.10343354052728859,0.0,true,0.9776045386568477,0.9776045386568477,40.76113885980169,20.0
0.6446416151222696,0.0,true,0.7986100012288434,0.9184015014131699,37.65448816496958,23.0
0.07612901304079278,0.0,true,0.9523809234735526,0.9999999696472303,39.40584895381686,21.0
0.8217216493438673,0.0,true,0.8690824726962434,0.9125365963310555,39.79209915659024,21.0
0.10638523161239899,0.0,true,0.871345408648934,0.9584799495138274,39.10140246567447,22.0
0.005941301444274183,0.0,true,0.9999999898409466,0.9999999898409466,39.22192956494051,20.0
0.3383184347059225,0.0,true,0.9027970653223181,0.9479369185884339,39.2201394062232,21.0
0.8513814103017272,0.0,true,0.8023544483391878,0.922707615590066,38.37837701633013,23.0
0.3738423499380914,0.0,true,0.8713251931397502,0.9584577124537252,38.65793390765056,22.0
0.07205850278461723,0.0,true,0.9506480188628077,0.9981804198059481,38.914176404232265,21.0
0.7831997046027876,0.0,true,0.8502625394595142,0.9352887934054657,39.939228447406194,22.0
0.11511048004127589,0.0,true,0.9742809750086561,0.9742809750086561,39.82712314917293,20.0
0.08687483242091032,0.0,true,0.9843169504775666,0.9843169504775666,40.20877686884773,20.0
0.7615859689813707,0.0,true,0.7999046735141667,0.8798951408655833,41.235746195509925,22.0
0.014505595405009952,0.0,true,0.9932423266271618,0.9932423266271618,40.32786643160591,20.0
0.11246509217930911,0.0,true,0.9595644056747368,0.9595644056747368,38.56922820695629,20.0
0.5486038040921377,0.0,true,0.8615163714281829,0.9045921899995921,39.264204345972004,21.0
0.2743273270157447,0.0,true,0.9385812756803812,0.9385812756803812,40.38024806798355,20.0
0.6199982239072737,0.0,true,0.8409144497329912,0.9250058947062904,39.53525915504261,22.0
0.36129247065176684,0.0,true,0.8793137569499753,0.9672451326449728,40.0962975543234,22.0
0.40131254068178923,0.0,true,0.8313824870226942,0.9145207357249637,38.65732882453992,22.0
0.44718841124158404,0.0,true,0.8334252580865161,0.9584390467994937,37.92462249447188,23.0
0.7632317045184187,0.0,true,0.7562481119375876,0.9074977343251052,38.84927709101291,24.0
0.17440769179154336,0.0,true,0.9063502255086151,0.9516677367840458,39.397892482136584,21.0
0.6843915368180529,0.0,true,0.7974864516361783,0.917109419381605,38.727016850437096,23.0
0.04976834174802347,0.0,true,0.9523809719057064,1.0000000205009916,39.71615536735552,21.0
0.43025627980923975,0.0,true,0.8883895228786417,0.9328089990225739,40.06402412361321,21.0
0.9997751910525745,0.0,true,0.7814789864539368,0.8987008344220273,39.61467399858307,23.0
0.05451387500019278,0.0,true,0.9434485708024557,0.9906209993425785,38.30297116302612,21.0
0.5408883482466118,0.0,true,0.837423370061246,0.9211657070673706,39.842652877434695,22.0
0.7457797327604727,0.0,true,0.7950649898995567,0.9143247383844901,39.60218638620407,23.0
0.42386400631691346,0.0,true,0.8210531371234211,0.9031584508357632,39.625477226905716,22.0
0.24315963563267085,0.0,true,0.9434962205996887,0.9906710316296732,38.856482933105084,21.0
0.5609282692832154,0.0,true,0.7841107093617595,0.9017273157660235,38.08083120863225,23.0
0.9979769179999833,0.0,true,0.8326963420317455,0.9576007933365073,38.00459522305724,23.0
0.6121830032241784,0.0,true,0.7906994124490899,0.9093043243164534,38.94368044927677,23.0
0.4454403577247821,0.0,true,0.8083430576348918,0.889177363398381,39.40268160367454,22.0
0.3138783777158145,0.0,true,0.8145068357849977,0.9366828611527473,39.29553473908733,23.0
0.29856077588143015,0.0,true,0.8653781720698359,0.9519159892768195,38.24451726542891,22.0
0.05772838591670992,0.0,true,0.9090909234603255,1.000000015806358,38.10726555189022,22.0
0.6047391924942682,0.0,true,0.857922078436472,0.9437142862801192,39.46706041414808,22.0
0.3288467118855334,0.0,true,0.9027993544458006,0.9479393221680906,39.51555751298866,21.0
0.6099004599821856,0.0,true,0.7876882832929628,0.9058415257869072,38.649109861833765,23.0
0.5099649049660948,0.0,true,0.7882606623177316,0.9064997616653914,39.24026842840229,23.0
